"Catalog / Data Sheet","Part No.","Status","Brand","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","Operating Temp. Range / °C","Cap.Change or Temp.Coef.","AEC- Q200"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1c0g2a102j050bc.pdf","CGA2B1C0G2A102J050BC Equiv. C1005C0G2A102J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","1.0mm x 0.5mm [EIA 0402]","0.55","1nF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1c0g2a102j050be.pdf","CGA2B1C0G2A102J050BE Equiv. C1005C0G2A102J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","1nF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1c0g2a471j050be_200603.pdf","CGA2B1C0G2A471J050BE Equiv. C1005C0G2A471J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","470pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1c0g2a681j050bc.pdf","CGA2B1C0G2A681J050BC Equiv. C1005C0G2A681J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V)","1.0mm x 0.5mm [EIA 0402]","0.55","680pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_soft_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1c0g2a681j050be.pdf","CGA2B1C0G2A681J050BE Equiv. C1005C0G2A681J for Auto","Production","TDK","Automotive Grade","AEC-Q200 Mid Voltage (100 to 630V) Soft Termination","1.0mm x 0.5mm [EIA 0402]","0.6","680pF","±5%","100","C0G","-55 to 125","0±30ppm/°C","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x5r1c154k050bc.pdf","CGA2B1X5R1C154K050BC Equiv. C1005X5R1C154K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","150nF","±10%","16","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x5r1c154m050bc.pdf","CGA2B1X5R1C154M050BC Equiv. C1005X5R1C154M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","150nF","±20%","16","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x5r1c224k050bc.pdf","CGA2B1X5R1C224K050BC Equiv. C1005X5R1C224K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","220nF","±10%","16","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x5r1c224m050bc.pdf","CGA2B1X5R1C224M050BC Equiv. C1005X5R1C224M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","220nF","±20%","16","X5R","-55 to 85","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1a154k050bc.pdf","CGA2B1X7R1A154K050BC Equiv. C1005X7R1A154K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","150nF","±10%","10","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1a154m050bc.pdf","CGA2B1X7R1A154M050BC Equiv. C1005X7R1A154M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","150nF","±20%","10","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1a224k050bc.pdf","CGA2B1X7R1A224K050BC Equiv. C1005X7R1A224K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","220nF","±10%","10","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1a224m050bc.pdf","CGA2B1X7R1A224M050BC Equiv. C1005X7R1A224M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","220nF","±20%","10","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1c104k050bc.pdf","CGA2B1X7R1C104K050BC Equiv. C1005X7R1C104K for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","100nF","±10%","16","X7R","-55 to 125","±15%","YES"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/cga2b1x7r1c104m050bc.pdf","CGA2B1X7R1C104M050BC Equiv. C1005X7R1C104M for Auto","Production","TDK","Automotive Grade","AEC-Q200 General (Up to 50V)","1.0mm x 0.5mm [EIA 0402]","0.55","100nF","±20%","16","X7R","-55 to 125","±15%","YES"
