Part Number,Status,Characteristic,Specific Applications,Length,Width,Thickness,Temperature characteristics,Rated Voltage,Capacitance,Tolerance of capacitance,Notes,,,
GCM0335C1ER10WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.1pF,±0.05pF,,1E-12,0.1,1E-13
GCM0335C1HR10WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.1pF,±0.05pF,,1E-12,0.1,1E-13
GCM1555C2AR10WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.1pF,±0.05pF,,1E-12,0.1,1E-13
GCM0335C1ER11BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.11pF,±0.1pF,,1E-12,0.11,1.1E-13
GCM0335C1ER11WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.11pF,±0.05pF,,1E-12,0.11,1.1E-13
GCM0335C1HR11BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.11pF,±0.1pF,,1E-12,0.11,1.1E-13
GCM0335C1HR11WA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),50Vdc,0.11pF,±0.05pF,,1E-12,0.11,1.1E-13
GCM1555C1HR11BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),50Vdc,0.11pF,±0.1pF,,1E-12,0.11,1.1E-13
GCM1555C2AR11BE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.11pF,±0.1pF,,1E-12,0.11,1.1E-13
GCM1555C2AR11WE02#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",1.0 ±0.05mm,0.5 ±0.05mm,0.5 ±0.05mm,C0G(EIA),100Vdc,0.11pF,±0.05pF,,1E-12,0.11,1.1E-13
GCM0335C1ER12BA16#,In Production,AEC-Q200Support|Up to 125℃|Reflow soldering,"Automotive powertrain/safety equipment,Automotive infotainment/comfort equipment,Medical equipment [GHTF A/B/C] except for implant equipment",0.6 ±0.03mm,0.3 ±0.03mm,0.3 ±0.03mm,C0G(EIA),25Vdc,0.12pF,±0.1pF,,1E-12,0.12,1.2E-13
